product_name,brand,price,ram,storage,screen_size,resolution,chipset,os,rear_camera,front_camera,battery,dimensions,weight,rating_value,rating_count,image_url
OPPO Reno15c 5G,OPPO,10799000,12,256,6.59,1256x2760,Snapdragon 7 Gen 4 (4 nm),"Android 16, ColorOS 16",50 + 50 + 8MP,"50 MP, f/2.0",6500,,,5,1,https://www.duchuymobile.com/images/detailed/88/oppo-reno-15c-mau-xanh.jpg
vivo Y21d,Vivo,4169000,4,128,6.68,608x720,Unisoc T7225 (12nm),Android 15,50 + 0.08 MP,5 MP,6.500,,,5,1,https://www.duchuymobile.com/images/detailed/87/vivo-y21d-tim.jpg
Tecno Spark 40C,Tecno,2209000,4,128,6.67,720x1600,MediaTek Helio G81,Android 15,13 MP,8 MP,6000,165.66x77x8.25,193,5,1,https://www.duchuymobile.com/images/detailed/87/tecno-spark-40c-den.jpg
HONOR X9d 5G,HONOR,9399000,12,512,6.79,1200x2640,Snapdragon 6 Gen 4 (4 nm),"Android 15, Magic OS 9",108 + 5 MP,"16 MP, f/2.5, (wide)",8300,161.9x76.1x7.76,193,5,2,https://www.duchuymobile.com/images/detailed/88/honor-x9d-vang.jpg
Samsung Galaxy A06 5G,Samsung,2099000,4,64,6.7,720x1600,Dimensity 6300 5G 8 nhân,Android 15,Chính 50 MP & Phụ 2 MP,8MP,5000,167.3x77.3x8,191,5,3,https://www.duchuymobile.com/images/detailed/87/samsung-galaxy-a06-5g-bac.jpg
Huawei Enjoy 70X Premium,Huawei,7039000,8,256,6.78,,Kirin 8000,HarmonyOS 4.0,50 + 2MP,8MP,6100,,,5,1,https://www.duchuymobile.com/images/detailed/87/huawei-enjoy-70x-premium.jpg
HONOR X9d 5G,HONOR,8399000,12,256,6.79,1200x2640,Snapdragon 6 Gen 4 (4 nm),"Android 15, Magic OS 9",108 + 5 MP,"16 MP, f/2.5, (wide)",8300,161.9x76.1x7.76,193,5,4,https://www.duchuymobile.com/images/detailed/88/honor-x9d-do-nau.jpg
ZTE nubia V80 Pro,Nubia,3399000,8,256,6.75,900x1940,Unisoc T7280 (12 nm),Android 16,Chính 108 MP,16 MP,5000,166x79x7.7,195,5,1,https://www.duchuymobile.com/images/detailed/87/zte-nubia-v80-pro.jpg
Honor 500 5G,HONOR,11129000,12,512,6.55,1264x2736,Snapdragon 8s Gen 4 (4 nm),"Android 16, MagicOS 10",200 + 12 MP,50 MP,8000,155.8x74.2x7.8,198,5,1,https://www.duchuymobile.com/images/detailed/87/honor-500-trang.jpg
Honor 500 5G,HONOR,12239000,16,512,6.55,1264x2736,Snapdragon 8s Gen 4 (4 nm),"Android 16, MagicOS 10",200 + 12 MP,50 MP,8000,155.8x74.2x7.8,198,5,1,https://www.duchuymobile.com/images/detailed/87/honor-500-den.jpg
