product_name,brand,price,ram,storage,screen_size,resolution,chipset,os,rear_camera,front_camera,battery,dimensions,weight,rating_value,rating_count,image_url
Oppo Reno15 FS 5G,OPPO,12239000,8,256,6.57,1080x2372,Snapdragon 6 Gen 1 (4 nm),"Android 16, ColorOS 16",50 + 8 + 2 MP,"50 MP, f/2.0",6500,158.2x74.9x8.2,189,5,1,https://www.duchuymobile.com/images/detailed/88/oppo-reno15-fs-5g.jpg
HONOR Play 10A,HONOR,2999000,4,128,6.75,,Dimensity 6300,"Android 15, Magic OS 9",13MP,5MP,5300,,,5,1,https://www.duchuymobile.com/images/detailed/88/honor-play-10a.jpg
OPPO A6s 5G,OPPO,5999000,6,128,6.75,1570x720,Dimensity 6300,ColorOS 15.0,50 + 2MP,16MP,7000,,,5,1,https://www.duchuymobile.com/images/detailed/89/oppo-a6s-5g-trang.jpg
OPPO A6c,OPPO,2999000,6,128,6.75,,Snapdragon 685,ColorOS 15.0,13MP,5MP,6500,166.61x78.51x8.61,210,5,1,https://www.duchuymobile.com/images/detailed/89/oppo-a6c-xanh.jpg
Oppo Reno 15 FS 5G,OPPO,12239000,8,256,6.57,1080x2372,Snapdragon 6 Gen 1 5G 8 nhân,ColorOS 16 (Android 16),"Chính 50 MP & Phụ 8 MP, 2 MP",50 MP,6500,,,5,1,https://www.duchuymobile.com/images/detailed/89/oppo-reno-15-fs-5g.jpg
Honor X5c Plus,HONOR,2749000,4,128,6.74,720x1600,Helio G81 (12 nm),"Android 15, MagicOS 9",Chính 50 MP & Ống kính phụ,"5 MP, f/2.2",5260,167x77x7.9,186,5,1,https://www.duchuymobile.com/images/detailed/89/honor-x5c-plus-xanh.jpg
Motorola Moto G17,Motorola,5379000,4,128,6.72,1080x2400,Helio G81 Extreme (12 nm),Android 15,50MP + 5MP,32 MP,5200,,,5,1,https://www.duchuymobile.com/images/detailed/89/motorola-moto-g17.jpg
Motorola Moto G17 Power,Motorola,6999000,8,256,6.72,1080x2400,Helio G81 Extreme (12 nm),Android 15,50 + 5 MP,32 MP,6000,,,5,1,https://www.duchuymobile.com/images/detailed/89/motorola-moto-g17-power.jpg
Realme 16 5G,Realme,10249000,12,256,6.57,2372x1080,Dimensity 6400 Turbo 8 nhân,Android 16,Chính 50 MP & Phụ 2 MP,50MP,7000,158.3x75.13x8.1,183,5,1,https://www.duchuymobile.com/images/detailed/89/realme-16-den.jpg
OPPO A6v,OPPO,4499000,8,256,6.57,,Dimensity 6300,"Android 15, ColorOS 15",50 + 2 MP,16MP,7000,,,5,1,https://www.duchuymobile.com/images/detailed/89/oppo-a6v.jpg
OPPO A6i+,OPPO,5599000,8,256,6.75,1280x2800,Dimensity 6300,"Android 15, ColorOS 15",50 + 2 MP,5 MP,7000,,,5,1,https://www.duchuymobile.com/images/detailed/89/oppo-a6i-plus.JPG
Nubia Blade A34,Nubia,1599000,4,64,6.6,720x1612,Unisoc SC9863A (28 nm),Android 13 (Go edition),8 MP,5MP,5000,164x75.8x8.8,,5,1,https://www.duchuymobile.com/images/detailed/89/nubia-blade-a34-den.jpg
vivo Y11d 4G,Vivo,2999000,4,128,6.74,1600x720,"Unisoc T7225,",Android,50 + 0.08MP,5MP,6500,,,5,1,https://www.duchuymobile.com/images/detailed/89/vivo-y11d-den.jpg
vivo Y05 4G,Vivo,2629000,4,64,6.74,600x720,Unisoc T7225,Android 16,8MP,5MP,6500,,,5,1,https://www.duchuymobile.com/images/detailed/89/vivo-y05.jpg
HONOR X8d,HONOR,6999000,8,256,6.77,1080x2392,Snapdragon 6s 4G Gen 2,"Android 15, MagicOS 10",108 + 5 MP,16 MP,7000,162.9x76.3x7.5,188,5,1,https://www.duchuymobile.com/images/detailed/89/honor-x8d.jpg
Xiaomi 13T 5G,Xiaomi,8499000,8,256,6.67,1220x2712,MediaTek Dimensity 8200-Ultra,"Android 13, MIUI 14","Chính 50 MP & Phụ 50 MP, 12 MP",20 MP,5000,,,5,1,https://www.duchuymobile.com/images/detailed/63/xiaomi-13t-5g-xanh_vbje-9q.jpg
